Date,Close,Open,High,Low,Volume,Percent
2018/10/19,25444.34 ,25421.09 ,25608.71 ,25350.02 ,350.81M,0.26%
2018/10/20,25444.34 ,25421.09 ,25608.71 ,25350.02 ,350.81M,0.26%
2018/10/21,25444.34 ,25421.09 ,25608.71 ,25350.02 ,350.81M,0.26%
2018/10/22,25317.41 ,25492.14 ,25561.34 ,25236.05 ,314.94M,-0.50%
2018/10/23,25191.43 ,25038.46 ,25307.70 ,24768.79 ,436.43M,-0.50%
2018/10/24,24583.42 ,25172.88 ,25306.23 ,24533.19 ,496.40M,-2.41%
2018/10/25,24984.55 ,24736.54 ,25104.29 ,24645.56 ,439.67M,1.63%
2018/10/26,24688.31 ,24770.25 ,24916.16 ,24445.19 ,505.31M,-1.19%
2018/10/27,24688.31 ,24770.25 ,24916.16 ,24445.19 ,505.31M,-1.19%
2018/10/28,24688.31 ,24770.25 ,24916.16 ,24445.19 ,505.31M,-1.19%
2018/10/29,24442.92 ,24818.98 ,25040.58 ,24122.23 ,443.85M,-0.99%
2018/10/30,24874.64 ,24482.04 ,24906.68 ,24415.69 ,470.05M,1.77%
2018/10/31,25115.76 ,25008.82 ,25336.55 ,25008.82 ,448.93M,0.97%
2018/11/1,25380.74 ,25142.08 ,25396.47 ,25108.11 ,383.97M,1.06%
2018/11/2,25270.83 ,25443.60 ,25578.98 ,25078.72 ,429.48M,-0.43%
2018/11/3,25270.83 ,25443.60 ,25578.98 ,25078.72 ,429.48M,-0.43%
2018/11/4,25270.83 ,25443.60 ,25578.98 ,25078.72 ,429.48M,-0.43%
2018/11/5,25461.70 ,25261.47 ,25507.35 ,25261.47 ,334.74M,0.76%
2018/11/6,25635.01 ,25452.83 ,25651.86 ,25444.90 ,265.45M,0.68%
2018/11/7,26180.30 ,25788.46 ,26200.14 ,25765.88 ,361.78M,2.13%
2018/11/8,26191.22 ,26139.59 ,26277.82 ,26081.90 ,295.65M,0.04%
2018/11/9,25989.30 ,26149.11 ,26161.49 ,25882.91 ,324.45M,-0.77%
2018/11/10,25989.30 ,26149.11 ,26161.49 ,25882.91 ,324.45M,-0.77%
2018/11/11,25989.30 ,26149.11 ,26161.49 ,25882.91 ,324.45M,-0.77%
2018/11/12,25387.18 ,25959.33 ,25966.71 ,25340.51 ,346.91M,-2.32%
2018/11/13,25286.49 ,25321.21 ,25511.03 ,25193.78 ,339.69M,-0.40%
2018/11/14,25080.50 ,25388.08 ,25501.29 ,24935.82 ,384.24M,-0.81%
2018/11/15,25289.27 ,25061.48 ,25354.56 ,24787.79 ,392.75M,0.83%
2018/11/16,25413.22 ,25242.35 ,25510.23 ,25147.80 ,354.46M,0.49%
2018/11/17,25413.22 ,25242.35 ,25510.23 ,25147.80 ,354.46M,0.49%
2018/11/18,25413.22 ,25242.35 ,25510.23 ,25147.80 ,354.46M,0.49%
2018/11/19,25017.44 ,25392.61 ,25392.61 ,24900.98 ,358.09M,-1.56%
2018/11/20,24465.64 ,24618.68 ,24707.26 ,24368.98 ,445.92M,-2.21%
2018/11/21,24464.69 ,24541.65 ,24669.79 ,24463.28 ,289.37M,0.00%
2018/11/22,24464.69 ,24541.65 ,24669.79 ,24463.28 ,289.37M,0.00%
2018/11/23,24285.95 ,24336.40 ,24408.80 ,24268.74 ,155.94M,-0.73%
2018/11/24,24285.95 ,24336.40 ,24408.80 ,24268.74 ,155.94M,-0.73%
2018/11/25,24285.95 ,24336.40 ,24408.80 ,24268.74 ,155.94M,-0.73%
2018/11/26,24640.24 ,24364.13 ,24673.29 ,24364.13 ,306.28M,1.46%
2018/11/27,24748.73 ,24557.02 ,24750.73 ,24416.03 ,308.25M,0.44%
2018/11/28,25366.43 ,24832.84 ,25368.93 ,24832.84 ,362.16M,2.50%
2018/11/29,25338.84 ,25343.65 ,25479.04 ,25202.79 ,305.11M,-0.11%
2018/11/30,25538.46 ,25307.14 ,25549.71 ,25250.97 ,482.25M,0.79%
2018/12/1,25538.46 ,25307.14 ,25549.71 ,25250.97 ,482.25M,0.79%
2018/12/2,25538.46 ,25307.14 ,25549.71 ,25250.97 ,482.25M,0.79%
2018/12/3,25826.43 ,25779.57 ,25980.21 ,25670.51 ,388.48M,1.13%
2018/12/4,25027.07 ,25752.56 ,25773.12 ,25008.11 ,418.90M,-3.10%
2018/12/5,25027.07 ,25752.56 ,25773.12 ,25008.11 ,418.90M,-3.10%
2018/12/6,24947.67 ,24737.42 ,24951.01 ,24242.22 ,471.69M,-0.32%
2018/12/7,24388.95 ,24918.82 ,25095.62 ,24284.78 ,398.23M,-2.24%
2018/12/8,24388.95 ,24918.82 ,25095.62 ,24284.78 ,398.23M,-2.24%
2018/12/9,24388.95 ,24918.82 ,25095.62 ,24284.78 ,398.23M,-2.24%
2018/12/10,24423.26 ,24360.95 ,24500.81 ,23881.37 ,389.69M,0.14%
2018/12/11,24370.24 ,24719.91 ,24791.26 ,24221.06 ,342.96M,-0.22%
2018/12/12,24527.27 ,24509.09 ,24828.29 ,24509.09 ,344.33M,0.64%
2018/12/13,24597.38 ,24575.86 ,24740.96 ,24473.29 ,299.97M,0.29%
2018/12/14,24100.51 ,24408.04 ,24431.14 ,24033.79 ,416.94M,-2.02%
2018/12/15,24100.51 ,24408.04 ,24431.14 ,24033.79 ,416.94M,-2.02%
2018/12/16,24100.51 ,24408.04 ,24431.14 ,24033.79 ,416.94M,-2.02%
2018/12/17,23592.98 ,23986.83 ,24088.08 ,23456.88 ,466.74M,-2.11%
2018/12/18,23675.64 ,23769.13 ,23927.77 ,23516.02 ,408.07M,0.35%
2018/12/19,23323.66 ,23693.33 ,24057.34 ,23162.64 ,503.55M,-1.49%
